timestamp,open,high,low,close,volume
2019-11-18 11:59:00,149.8250,149.8400,149.8069,149.8400,47428
2019-11-18 11:58:00,149.8300,149.8300,149.8000,149.8200,17289
2019-11-18 11:57:00,149.8181,149.8300,149.8100,149.8200,20848
2019-11-18 11:56:00,149.7750,149.8200,149.7700,149.8200,39874
2019-11-18 11:55:00,149.8100,149.8198,149.7600,149.7778,53311
2019-11-18 11:54:00,149.7950,149.8161,149.7860,149.8100,24107
2019-11-18 11:53:00,149.7850,149.8400,149.7800,149.7948,94842
2019-11-18 11:52:00,149.7777,149.7900,149.7700,149.7800,16822
2019-11-18 11:51:00,149.7600,149.8100,149.7300,149.7700,52210
2019-11-18 11:50:00,149.8100,149.8100,149.7500,149.7674,61396
2019-11-18 11:49:00,149.7000,149.8400,149.6809,149.8000,81952
2019-11-18 11:48:00,149.6400,149.7000,149.6400,149.7000,38577
2019-11-18 11:47:00,149.6100,149.6307,149.5500,149.6307,47816
2019-11-18 11:46:00,149.6200,149.6900,149.6050,149.6100,87860
2019-11-18 11:45:00,149.5789,149.6260,149.5700,149.6050,0
2019-11-18 11:44:00,149.5550,149.5899,149.5350,149.5750,44426
2019-11-18 11:43:00,149.5475,149.5950,149.5400,149.5550,30667
2019-11-18 11:42:00,149.5250,149.5450,149.5250,149.5450,36800
2019-11-18 11:41:00,149.5000,149.5050,149.4800,149.4901,25143
2019-11-18 11:40:00,149.4600,149.5100,149.4600,149.4900,24216
2019-11-18 11:39:00,149.4801,149.4958,149.4400,149.4600,29800
2019-11-18 11:38:00,149.4700,149.5200,149.4700,149.4900,39539
2019-11-18 11:37:00,149.4631,149.4800,149.4400,149.4673,37135
2019-11-18 11:36:00,149.3900,149.4677,149.3900,149.4600,36722
2019-11-18 11:35:00,149.3100,149.3950,149.2900,149.3948,39563
2019-11-18 11:34:00,149.2400,149.3240,149.2400,149.3200,46221
2019-11-18 11:33:00,149.2111,149.2400,149.1900,149.2400,23900
2019-11-18 11:32:00,149.2550,149.2600,149.2100,149.2150,59693
2019-11-18 11:31:00,149.2450,149.2600,149.2300,149.2544,43039
2019-11-18 11:30:00,149.2900,149.2900,149.2350,149.2500,51624
2019-11-18 11:29:00,149.3300,149.3310,149.2900,149.2900,16501
2019-11-18 11:28:00,149.3700,149.3900,149.3100,149.3300,32948
2019-11-18 11:27:00,149.3900,149.4200,149.3500,149.3750,30589
2019-11-18 11:26:00,149.3500,149.4000,149.3350,149.3950,37335
2019-11-18 11:25:00,149.3350,149.3559,149.2900,149.3440,60940
2019-11-18 11:24:00,149.3350,149.3400,149.3022,149.3250,19068
2019-11-18 11:23:00,149.3300,149.3450,149.3000,149.3400,56544
2019-11-18 11:22:00,149.2600,149.3300,149.2500,149.3300,21564
2019-11-18 11:21:00,149.2686,149.3000,149.2300,149.2500,29193
2019-11-18 11:20:00,149.2588,149.3000,149.2100,149.2677,82182
2019-11-18 11:19:00,149.2800,149.2900,149.2300,149.2575,25742
2019-11-18 11:18:00,149.2700,149.3200,149.2600,149.2900,17893
2019-11-18 11:17:00,149.2600,149.3100,149.2300,149.2700,27405
2019-11-18 11:16:00,149.1900,149.2900,149.1900,149.2700,23839
2019-11-18 11:15:00,149.2287,149.2300,149.1900,149.1900,86616
2019-11-18 11:14:00,149.3700,149.3750,149.3600,149.3700,4099
2019-11-18 11:13:00,149.4000,149.4000,149.3600,149.3700,227805
2019-11-18 11:11:00,149.3400,149.3400,149.3300,149.3400,7782
2019-11-18 11:10:00,149.3100,149.3500,149.3100,149.3400,21551
2019-11-18 11:09:00,149.3450,149.3600,149.3150,149.3150,42904
2019-11-18 11:08:00,149.3700,149.3900,149.3400,149.3400,37002
2019-11-18 11:07:00,149.3700,149.4158,149.3600,149.3700,49875
2019-11-18 11:06:00,149.3758,149.3900,149.3600,149.3700,28034
2019-11-18 11:05:00,149.3835,149.4000,149.3500,149.3700,50653
2019-11-18 11:04:00,149.4300,149.4400,149.3800,149.3850,27238
2019-11-18 11:03:00,149.3952,149.4300,149.3700,149.4256,30135
2019-11-18 11:02:00,149.4300,149.4500,149.3900,149.4100,29454
2019-11-18 11:01:00,149.4400,149.4800,149.4200,149.4250,27241
2019-11-18 11:00:00,149.4500,149.4900,149.4200,149.4400,20340
2019-11-18 10:59:00,149.4439,149.4750,149.4400,149.4434,22373
2019-11-18 10:58:00,149.4590,149.4600,149.4300,149.4451,28695
2019-11-18 10:57:00,149.4350,149.4500,149.4000,149.4500,30811
2019-11-18 10:56:00,149.4400,149.4750,149.4400,149.4400,60894
2019-11-18 10:55:00,149.4300,149.4600,149.4300,149.4300,31215
2019-11-18 10:54:00,149.4500,149.4700,149.4300,149.4342,37591
2019-11-18 10:53:00,149.4847,149.5100,149.4300,149.4501,54026
2019-11-18 10:52:00,149.4300,149.4850,149.4200,149.4800,21461
2019-11-18 10:51:00,149.4300,149.4700,149.4300,149.4300,65016
2019-11-18 10:50:00,149.4653,149.4666,149.4000,149.4400,32889
2019-11-18 10:49:00,149.4853,149.4853,149.3900,149.4600,27177
2019-11-18 10:48:00,149.4800,149.4950,149.4100,149.4859,53660
2019-11-18 10:47:00,149.5000,149.5300,149.4600,149.4800,68030
2019-11-18 10:46:00,149.4000,149.5000,149.4000,149.5000,55140
2019-11-18 10:45:00,149.3200,149.4200,149.3200,149.4000,36534
2019-11-18 10:44:00,149.3150,149.3600,149.3100,149.3158,41410
2019-11-18 10:43:00,149.2200,149.3385,149.2100,149.3150,72951
2019-11-18 10:42:00,149.1800,149.2175,149.1500,149.2150,30127
2019-11-18 10:41:00,149.0800,149.1975,149.0550,149.1700,60247
2019-11-18 10:40:00,149.0300,149.1000,148.9800,149.0800,258564
2019-11-18 10:39:00,149.1100,149.1500,149.0300,149.0300,69482
2019-11-18 10:38:00,149.2000,149.2100,149.0950,149.1100,110077
2019-11-18 10:37:00,149.1700,149.2050,149.1500,149.2000,129466
2019-11-18 10:36:00,149.1600,149.1942,149.1300,149.1686,49626
2019-11-18 10:35:00,149.0850,149.2000,149.0600,149.1600,53617
2019-11-18 10:34:00,149.1200,149.1400,149.0800,149.0849,25129
2019-11-18 10:33:00,149.1400,149.1800,149.0900,149.1200,40810
2019-11-18 10:32:00,149.1900,149.2050,149.1002,149.1487,70310
2019-11-18 10:31:00,149.1550,149.1800,149.1400,149.1800,24780
2019-11-18 10:30:00,149.1100,149.1600,149.1000,149.1600,35014
2019-11-18 10:29:00,149.1757,149.1757,149.0900,149.1100,52953
2019-11-18 10:28:00,149.1700,149.2100,149.1601,149.1799,26748
2019-11-18 10:27:00,149.1324,149.1700,149.1200,149.1500,25419
2019-11-18 10:26:00,149.1500,149.1600,149.1000,149.1400,27492
2019-11-18 10:25:00,149.1400,149.1800,149.1300,149.1500,40535
2019-11-18 10:24:00,149.2100,149.2100,149.1400,149.1494,28073
2019-11-18 10:23:00,149.1933,149.2300,149.1800,149.2100,22854
2019-11-18 10:22:00,149.2250,149.2500,149.2000,149.2000,32818
2019-11-18 10:21:00,149.2000,149.2300,149.1700,149.2250,27588
2019-11-18 10:20:00,149.2082,149.2350,149.1675,149.2000,22526
2019-11-18 10:19:00,149.1600,149.2400,149.1600,149.2050,44079
2019-11-18 10:18:00,149.1600,149.1700,149.0720,149.1550,35425
2019-11-18 10:17:00,149.1700,149.1800,149.1000,149.1625,49388
2019-11-18 10:16:00,149.2200,149.2449,149.1700,149.1750,40618
2019-11-18 10:15:00,149.2250,149.2800,149.1900,149.2100,83537
2019-11-18 10:14:00,149.1720,149.2300,149.1600,149.2261,25016
2019-11-18 10:13:00,149.1600,149.2300,149.1400,149.1800,80082
2019-11-18 10:12:00,149.1300,149.2200,149.1100,149.1600,54689
2019-11-18 10:11:00,149.0785,149.1700,149.0785,149.1350,68575
2019-11-18 10:10:00,149.1350,149.1400,149.0600,149.0766,55714
2019-11-18 10:09:00,149.1700,149.1800,149.0736,149.1400,45842
2019-11-18 10:08:00,149.2200,149.2500,149.1700,149.1800,49623
2019-11-18 10:07:00,149.1500,149.3100,149.1450,149.2252,114582
2019-11-18 10:06:00,149.2300,149.2500,149.1500,149.1500,43921
2019-11-18 10:05:00,149.3200,149.3200,149.2300,149.2300,56053
2019-11-18 10:04:00,149.3500,149.3900,149.2900,149.3200,47692
2019-11-18 10:03:00,149.3965,149.4250,149.3400,149.3459,36178
2019-11-18 10:02:00,149.3400,149.4050,149.3000,149.3950,40012
2019-11-18 10:01:00,149.3000,149.3752,149.2800,149.3450,135242
2019-11-18 10:00:00,149.4100,149.4300,149.2900,149.3100,57482
2019-11-18 09:59:00,149.3700,149.4250,149.3700,149.4250,49874
2019-11-18 09:58:00,149.5252,149.5252,149.3900,149.3900,49186
2019-11-18 09:57:00,149.5359,149.5400,149.5359,149.5400,36960
